sitename,Country or Area Name,Full Address,Latitude,Longitude,locationId,sensorId,country,sensorType,displayName,sensor_name,sensor_unit,lastUpdated,PROJECT_NAME,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,New Station,Parameter,Value,utcoff
Tasmania Region_17,Australia,Lilydale,-41.25,147.217,5476.0,14446,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,196,1048,0.0,-41.25,147.217,,100017,,,,
Tasmania Region_18,Australia,Exeter,-41.303,146.951,5475.0,14445,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,196,1047,0.0,-41.303,146.951,,100018,,,,
Tasmania Region_19,Australia,St Helens,-41.32,148.25,5473.0,14443,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,196,1051,0.0,-41.32,148.25,,100019,,,,
Tasmania Region_20,Australia,Campbell Town,-41.928,147.491,5472.0,14439,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,193,1049,0.0,-41.928,147.491,,100020,,,,
Tasmania Region_21,Australia,George Town,-41.111,146.836,5477.0,14451,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,197,1047,0.0,-41.111,146.836,,100021,,,,
Tasmania Region_22,Australia,Ti Tree Bend,-41.419,147.124,5456.0,14404,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,195,1048,0.0,-41.419,147.124,,100022,,,,
Tasmania Region_23,Australia,Gretna,-42.684,146.936,5463.0,14425,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,190,1047,0.0,-42.684,146.936,,100023,,,,
Tasmania Region_24,Australia,Cygnet,-43.159,147.072,5464.0,14423,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,188,1048,0.0,-43.159,147.072,,100024,,,,
Tasmania Region_25,Australia,Bream Creek,-42.819,147.817,5467.0,14431,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,190,1050,0.0,-42.819,147.817,,100025,,,,
Tasmania Region_26,Australia,Judbury,-43.01,146.94,5465.0,14426,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,189,1047,0.0,-43.01,146.94,,100026,,,,
Tasmania Region_27,Australia,Oatlands,-42.3,147.372,5470.0,14436,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,192,1049,0.0,-42.3,147.372,,100027,,,,
Tasmania Region_28,Australia,New Norfolk,-42.776,147.054,5461.0,14419,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,190,1048,0.0,-42.776,147.054,,100028,,,,
Tasmania Region_29,Australia,Geeveston,-43.17,146.925,5462.0,14424,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,188,1047,0.0,-43.17,146.925,,100029,,,,
Tasmania Region_30,Australia,Mornington,-42.861,147.404,5460.0,14416,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,190,1049,0.0,-42.861,147.404,,100030,,,,
Tasmania Region_31,Australia,Huonville,-43.03,147.05,5469.0,14434,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,189,1048,0.0,-43.03,147.05,,100031,,,,
Tasmania Region_32,Australia,Triabunna,-42.509,147.913,5466.0,14429,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,191,1050,0.0,-42.509,147.913,,100032,,,,
Tasmania Region_33,Australia,Glenorchy,-42.842,147.271,5468.0,5079367,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,190,1048,0.0,-42.842,147.271,,100033,,,,
Tasmania Region_34,Australia,Hobart,-42.855,147.315,5459.0,14415,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,190,1048,0.0,-42.855,147.315,,100034,,,,
Melbourne,Australia,Brooklyn,-37.8220978,144.8471,10826.0,36187,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,210,1041,,-37.8220978,144.8471,,100078,,,,
Trondheim,Norway,Elgeseter,63.419239,10.395945,10829.0,36227,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,615,610,,63.419239,10.395945,,100079,,,,
Melbourne_2,Australia,Brighton,-37.9135475,144.998,10832.0,36214,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,209,1041,,-37.9135475,144.998,,100080,,,,
Melbourne_3,Australia,Box Hill,-37.8287277,145.1324,10836.0,36239,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,210,1041,,-37.8287277,145.1324,,100081,,,,
GoczaÅ‚kowice-ZdrÃ³j,Poland,"GoczaÅ‚kowice ZdrÃ³j, ul. Parkowa",49.93785,18.975594,10659.0,35478,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,561,638,,49.93785,18.975594,,100082,,,,
Borsukowizna,Poland,"Borsukowizna, SzkÃ³Å‚ka LeÅ›na",53.215492,23.642153,10842.0,36260,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,574,653,,53.215492,23.642153,,100083,,,,
Mildura,Australia,Mildura,-34.19561,142.1616,270779.0,1562238,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,224,1032,,-34.19561,142.1616,,100085,,,,
Stockholm,Sweden,"Kungsgatan, NorrkÃ¶ping",58.590397,16.178606,270755.0,1562142,SE,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,595,629,,58.590397,16.178606,,100086,,,,
Stockholm_2,Sweden,"Ã–stervÃ¤g, Visby",57.637377,18.301129,270750.0,1562148,SE,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,592,636,,57.637377,18.301129,,100087,,,,
Stockholm_3,Sweden,"Tulegatan, Sundbyberg",59.3667459,17.9688665,270749.0,1562152,SE,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,598,635,,59.3667459,17.9688665,,100088,,,,
BiaÅ‚a,Poland,"BiaÅ‚a, ul. Kmicica",52.602534,19.6451,10857.0,2589397,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,571,640,,52.602534,19.6451,,100089,,,,
Uppsala,Sweden,"Kungsgatan, Uppsala",59.853185,17.653329,270746.0,1562140,SE,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,600,633,,59.853185,17.653329,,100090,,,,
é«˜é›„å¸‚,"Taiwan, Province of China",é«˜é›„å¸‚ - å¾©èˆˆ,22.608711,120.312017,10663.0,35504,TW,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,451,962,,22.608711,120.312017,,100091,,,,
Stockholm_4,Sweden,"Hamngatan, LinkÃ¶ping",58.40878,15.631343,270745.0,1562141,SE,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,595,627,,58.40878,15.631343,,100092,,,,
Bendigo,Australia,Bendigo,-36.7784,144.300064,10863.0,36370,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,214,1039,,-36.7784,144.300064,,100093,,,,
BÃ¦rum,Norway,Bekkestua,59.91822,10.58393,10865.0,36379,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,601,611,,59.91822,10.58393,,100094,,,,
ReykjavÃ­k,Iceland,Reykjavik Grensas,64.1301,-21.87465,10665.0,35510,IS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,618,507,,64.1301,-21.87465,,100095,,,,
Melbourne_4,Australia,Dandenong,-37.98576,145.1987,10868.0,36397,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,209,1042,,-37.98576,145.1987,,100096,,,,
Geelong,Australia,Geelong South,-38.17356,144.3703,10869.0,36389,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,208,1039,,-38.17356,144.3703,,100097,,,,
